,Match_URL,Map_Name,Map_ID,Duration,Team_1,URL_1,Score_1,Attacking_Score_1,Defending_Score_1,Team_2,URL_2,Score_2,Attacking_Score_2,Defending_Score_2
0,/220453/nrg-esports-vs-paper-rex-champions-tour-2023-masters-tokyo-lr3,Pearl,132730,1:14:29,NRG Esports,/team/1034/nrg-esports,13,5,7,Paper Rex,/team/624/paper-rex,15,5,7
1,/220453/nrg-esports-vs-paper-rex-champions-tour-2023-masters-tokyo-lr3,Lotus,132731,43:29,NRG Esports,/team/1034/nrg-esports,13,10,3,Paper Rex,/team/624/paper-rex,6,4,2
2,/220453/nrg-esports-vs-paper-rex-champions-tour-2023-masters-tokyo-lr3,Bind,132732,50:46,NRG Esports,/team/1034/nrg-esports,11,7,4,Paper Rex,/team/624/paper-rex,13,8,5
3,/220447/fnatic-vs-evil-geniuses-champions-tour-2023-masters-tokyo-ubf,Lotus,132710,50:58,FNATIC,/team/2593/fnatic,13,10,3,Evil Geniuses,/team/5248/evil-geniuses,3,1,2
4,/220447/fnatic-vs-evil-geniuses-champions-tour-2023-masters-tokyo-ubf,Fracture,132711,50:13,FNATIC,/team/2593/fnatic,9,3,6,Evil Geniuses,/team/5248/evil-geniuses,13,4,9
5,/220447/fnatic-vs-evil-geniuses-champions-tour-2023-masters-tokyo-ubf,Split,132712,57:58,FNATIC,/team/2593/fnatic,13,7,6,Evil Geniuses,/team/5248/evil-geniuses,11,6,5
6,/220452/paper-rex-vs-edward-gaming-champions-tour-2023-masters-tokyo-lr2,Fracture,132727,1:03:40,Paper Rex,/team/624/paper-rex,14,4,8,EDward Gaming,/team/1120/edward-gaming,12,4,8
7,/220452/paper-rex-vs-edward-gaming-champions-tour-2023-masters-tokyo-lr2,Split,132728,49:36,Paper Rex,/team/624/paper-rex,9,3,6,EDward Gaming,/team/1120/edward-gaming,13,6,7
8,/220452/paper-rex-vs-edward-gaming-champions-tour-2023-masters-tokyo-lr2,Lotus,132729,48:13,Paper Rex,/team/624/paper-rex,13,5,8,EDward Gaming,/team/1120/edward-gaming,8,4,4
9,/220451/team-liquid-vs-nrg-esports-champions-tour-2023-masters-tokyo-lr2,Haven,132724,1:11:07,Team Liquid,/team/474/team-liquid,12,4,8,NRG Esports,/team/1034/nrg-esports,14,4,8
10,/220451/team-liquid-vs-nrg-esports-champions-tour-2023-masters-tokyo-lr2,Ascent,132725,55:51,Team Liquid,/team/474/team-liquid,13,7,6,NRG Esports,/team/1034/nrg-esports,8,3,5
11,/220451/team-liquid-vs-nrg-esports-champions-tour-2023-masters-tokyo-lr2,Split,132726,44:01,Team Liquid,/team/474/team-liquid,5,1,4,NRG Esports,/team/1034/nrg-esports,13,8,5
12,/220445/paper-rex-vs-fnatic-champions-tour-2023-masters-tokyo-ubsf,Lotus,132704,51:14,Paper Rex,/team/624/paper-rex,5,0,5,FNATIC,/team/2593/fnatic,13,1,12
13,/220445/paper-rex-vs-fnatic-champions-tour-2023-masters-tokyo-ubsf,Bind,132705,42:58,Paper Rex,/team/624/paper-rex,7,4,3,FNATIC,/team/2593/fnatic,13,9,4
14,/220446/team-liquid-vs-evil-geniuses-champions-tour-2023-masters-tokyo-ubsf,Fracture,132707,42:10,Team Liquid,/team/474/team-liquid,2,1,1,Evil Geniuses,/team/5248/evil-geniuses,13,11,2
15,/220446/team-liquid-vs-evil-geniuses-champions-tour-2023-masters-tokyo-ubsf,Haven,132708,48:18,Team Liquid,/team/474/team-liquid,9,5,4,Evil Geniuses,/team/5248/evil-geniuses,13,6,7
16,/220449/drx-vs-nrg-esports-champions-tour-2023-masters-tokyo-lr1,Pearl,132718,1:08:18,DRX,/team/8185/drx,11,3,8,NRG Esports,/team/1034/nrg-esports,13,4,9
17,/220449/drx-vs-nrg-esports-champions-tour-2023-masters-tokyo-lr1,Haven,132719,42:25,DRX,/team/8185/drx,5,4,1,NRG Esports,/team/1034/nrg-esports,13,5,8
18,/220450/edward-gaming-vs-loud-champions-tour-2023-masters-tokyo-lr1,Lotus,132721,57:50,EDward Gaming,/team/1120/edward-gaming,13,8,5,LOUD,/team/6961/loud,6,2,4
19,/220450/edward-gaming-vs-loud-champions-tour-2023-masters-tokyo-lr1,Fracture,132722,51:24,EDward Gaming,/team/1120/edward-gaming,13,8,5,LOUD,/team/6961/loud,10,7,3
