,Match_URL,Tournament,Team_1,Score_1,Team_2,Score_2
0,/220453/nrg-esports-vs-paper-rex-champions-tour-2023-masters-tokyo-lr3,Champions Tour 2023: Masters Tokyo,NRG Esports,1,Paper Rex,2
1,/220447/fnatic-vs-evil-geniuses-champions-tour-2023-masters-tokyo-ubf,Champions Tour 2023: Masters Tokyo,FNATIC,2,Evil Geniuses,1
2,/220452/paper-rex-vs-edward-gaming-champions-tour-2023-masters-tokyo-lr2,Champions Tour 2023: Masters Tokyo,Paper Rex,2,EDward Gaming,1
3,/220451/team-liquid-vs-nrg-esports-champions-tour-2023-masters-tokyo-lr2,Champions Tour 2023: Masters Tokyo,Team Liquid,1,NRG Esports,2
4,/220445/paper-rex-vs-fnatic-champions-tour-2023-masters-tokyo-ubsf,Champions Tour 2023: Masters Tokyo,Paper Rex,0,FNATIC,2
5,/220446/team-liquid-vs-evil-geniuses-champions-tour-2023-masters-tokyo-ubsf,Champions Tour 2023: Masters Tokyo,Team Liquid,0,Evil Geniuses,2
6,/220449/drx-vs-nrg-esports-champions-tour-2023-masters-tokyo-lr1,Champions Tour 2023: Masters Tokyo,DRX,0,NRG Esports,2
7,/220450/edward-gaming-vs-loud-champions-tour-2023-masters-tokyo-lr1,Champions Tour 2023: Masters Tokyo,EDward Gaming,2,LOUD,0
8,/220441/paper-rex-vs-drx-champions-tour-2023-masters-tokyo-ubqf,Champions Tour 2023: Masters Tokyo,Paper Rex,2,DRX,0
9,/220442/fnatic-vs-nrg-esports-champions-tour-2023-masters-tokyo-ubqf,Champions Tour 2023: Masters Tokyo,FNATIC,2,NRG Esports,0
10,/220443/team-liquid-vs-edward-gaming-champions-tour-2023-masters-tokyo-ubqf,Champions Tour 2023: Masters Tokyo,Team Liquid,2,EDward Gaming,1
11,/220444/loud-vs-evil-geniuses-champions-tour-2023-masters-tokyo-ubqf,Champions Tour 2023: Masters Tokyo,LOUD,0,Evil Geniuses,2
12,/220295/t1-vs-edward-gaming-champions-tour-2023-masters-tokyo-decider-a,Champions Tour 2023: Masters Tokyo,T1,0,EDward Gaming,2
13,/220300/drx-vs-fut-esports-champions-tour-2023-masters-tokyo-decider-b,Champions Tour 2023: Masters Tokyo,DRX,2,FUT Esports,1
14,/220294/natus-vincere-vs-edward-gaming-champions-tour-2023-masters-tokyo-elim-a,Champions Tour 2023: Masters Tokyo,Natus Vincere,0,EDward Gaming,2
15,/220299/attacking-soul-esports-vs-fut-esports-champions-tour-2023-masters-tokyo-elim-b,Champions Tour 2023: Masters Tokyo,Attacking Soul Esports,1,FUT Esports,2
16,/220293/nrg-esports-vs-t1-champions-tour-2023-masters-tokyo-winners-a,Champions Tour 2023: Masters Tokyo,NRG Esports,2,T1,1
17,/220298/drx-vs-evil-geniuses-champions-tour-2023-masters-tokyo-winners-b,Champions Tour 2023: Masters Tokyo,DRX,0,Evil Geniuses,2
18,/220290/nrg-esports-vs-natus-vincere-champions-tour-2023-masters-tokyo-opening-a,Champions Tour 2023: Masters Tokyo,NRG Esports,2,Natus Vincere,1
19,/222195/9z-team-vs-fusion-challengers-league-latam-finals-playoffs-gf,Challengers League LATAM: Finals,9z Team,3,FUSION,0
20,/217616/acend-vs-enterprise-esports-challengers-league-east-surge-split-2-gf,Challengers League East Surge: Split 2,Acend,3,Enterprise Esports,0
